Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-11-10 00:00:00-05:00,28.3933300490886,28.895280838012695,28.166032089878712,28.895280838012695,3390300,0.0,0.0
2022-11-11 00:00:00-05:00,29.037338995332277,29.037338995332277,28.592214094570096,28.885807037353516,2184200,0.0,0.0
2022-11-14 00:00:00-05:00,28.762693009864392,29.27411300554022,28.620630193906464,28.639572143554688,2492700,0.0,0.0
2022-11-15 00:00:00-05:00,28.952106006278076,29.1794039743599,28.658513023306178,28.84792709350586,2722800,0.0,0.0
2022-11-16 00:00:00-05:00,28.696390940929575,28.696390940929575,28.327032022319873,28.34597396850586,2795900,0.0,0.0
2022-11-17 00:00:00-05:00,27.957676078870545,29.037341836718426,27.93873413066882,28.895280838012695,3584900,0.0,0.0
2022-11-18 00:00:00-05:00,29.321464576022006,30.03177139392646,29.179403573721846,29.899181365966797,5046600,0.0,0.0
2022-11-21 00:00:00-05:00,29.776062868131927,30.249600755573702,29.624530888662854,30.183305740356445,4372600,0.0,0.0
2022-11-22 00:00:00-05:00,30.3064183816337,30.63789338756018,30.296947409121046,30.53371810913086,3348000,0.0,0.0
2022-11-23 00:00:00-05:00,30.5053065677149,30.666311310823893,29.94653358239949,30.050710678100586,3336400,0.0,0.0
2022-11-25 00:00:00-05:00,30.315894192884592,30.448487837125867,30.24013000898269,30.325366973876953,1287800,0.0,0.0
2022-11-28 00:00:00-05:00,30.088593764212266,30.259067669841208,29.889706938844014,30.22118377685547,2805900,0.0,0.0
2022-11-29 00:00:00-05:00,30.249600755573702,30.52425179096002,30.031771954483688,30.183305740356445,3379500,0.0,0.0
2022-11-30 00:00:00-05:00,30.10703417358132,31.718209092997604,30.021231840581404,31.68960952758789,7437400,0.21,0.0
2022-12-01 00:00:00-05:00,31.718210296918805,31.718210296918805,31.25106343579436,31.384532928466797,4020200,0.0,0.0
2022-12-02 00:00:00-05:00,31.050858854672963,31.413135785628725,30.736252716378626,31.327333450317383,2677500,0.0,0.0
2022-12-05 00:00:00-05:00,31.069928603183875,31.069928603183875,30.774386397294197,31.012725830078125,1738200,0.0,0.0
2022-12-06 00:00:00-05:00,31.0031929925918,31.098527308351343,30.354909462468015,30.65045166015625,2344200,0.0,0.0
2022-12-07 00:00:00-05:00,30.488377483756512,30.640914563652377,30.259571863912715,30.478843688964844,2790500,0.0,0.0
2022-12-08 00:00:00-05:00,30.945990564619848,31.1557304257445,30.717186749548468,30.936458587646484,2779300,0.0,0.0
2022-12-09 00:00:00-05:00,30.945987176735,31.060392708516943,30.717183386712453,30.869720458984375,3041600,0.0,0.0
